genome_id,antibiotic,call
PDT000003976.4,ampicillin,susceptible
PDT000003976.4,cefoxitin,susceptible
PDT000003976.4,ceftiofur,susceptible
PDT000003976.4,ceftriaxone,susceptible
PDT000003976.4,chloramphenicol,susceptible
PDT000003976.4,ciprofloxacin,susceptible
PDT000003976.4,gentamicin,non-susceptible
PDT000003976.4,kanamycin,non-susceptible
PDT000003976.4,nalidixic acid,susceptible
PDT000003976.4,streptomycin,non-susceptible
PDT000003976.4,sulfamethoxazole,non-susceptible
PDT000003976.4,tetracycline,non-susceptible
PDT000003976.4,trimethoprim-sulfamethoxazole,susceptible
PDT000004289.3,amikacin,susceptible
PDT000004289.3,amoxicillin-clavulanic acid,susceptible
PDT000004289.3,ampicillin,susceptible
PDT000004289.3,cefoxitin,susceptible
PDT000004289.3,ceftiofur,susceptible
PDT000004289.3,ceftriaxone,susceptible
PDT000004289.3,chloramphenicol,susceptible
PDT000004289.3,ciprofloxacin,susceptible
PDT000004289.3,gentamicin,susceptible
PDT000004289.3,kanamycin,susceptible
PDT000004289.3,nalidixic acid,susceptible
PDT000004289.3,streptomycin,susceptible
PDT000004289.3,sulfamethoxazole,susceptible
PDT000004289.3,tetracycline,susceptible
PDT000004289.3,trimethoprim-sulfamethoxazole,susceptible
PDT000004290.4,amikacin,susceptible
PDT000004290.4,amoxicillin-clavulanic acid,non-susceptible
PDT000004290.4,ampicillin,non-susceptible
PDT000004290.4,cefoxitin,non-susceptible
PDT000004290.4,ceftiofur,non-susceptible
PDT000004290.4,ceftriaxone,non-susceptible
PDT000004290.4,chloramphenicol,susceptible
PDT000004290.4,ciprofloxacin,susceptible
PDT000004290.4,gentamicin,susceptible
PDT000004290.4,kanamycin,susceptible
PDT000004290.4,nalidixic acid,susceptible
PDT000004290.4,streptomycin,non-susceptible
PDT000004290.4,sulfamethoxazole,non-susceptible
PDT000004290.4,tetracycline,non-susceptible
PDT000004290.4,trimethoprim-sulfamethoxazole,susceptible
PDT000004292.3,amikacin,susceptible
PDT000004292.3,amoxicillin-clavulanic acid,susceptible
PDT000004292.3,ampicillin,susceptible
PDT000004292.3,cefoxitin,susceptible
PDT000004292.3,ceftiofur,susceptible
PDT000004292.3,ceftriaxone,susceptible
PDT000004292.3,chloramphenicol,susceptible
PDT000004292.3,ciprofloxacin,susceptible
PDT000004292.3,gentamicin,susceptible
PDT000004292.3,kanamycin,susceptible
PDT000004292.3,nalidixic acid,susceptible
PDT000004292.3,streptomycin,non-susceptible
PDT000004292.3,sulfamethoxazole,susceptible
PDT000004292.3,tetracycline,non-susceptible
PDT000004292.3,trimethoprim-sulfamethoxazole,susceptible
PDT000004293.3,amikacin,susceptible
PDT000004293.3,amoxicillin-clavulanic acid,susceptible
PDT000004293.3,ampicillin,susceptible
PDT000004293.3,cefoxitin,susceptible
PDT000004293.3,ceftiofur,susceptible
PDT000004293.3,ceftriaxone,susceptible
PDT000004293.3,chloramphenicol,susceptible
PDT000004293.3,ciprofloxacin,susceptible
PDT000004293.3,gentamicin,susceptible
PDT000004293.3,kanamycin,susceptible
PDT000004293.3,nalidixic acid,susceptible
PDT000004293.3,streptomycin,non-susceptible
PDT000004293.3,sulfamethoxazole,susceptible
PDT000004293.3,tetracycline,non-susceptible
PDT000004293.3,trimethoprim-sulfamethoxazole,susceptible
PDT000004294.4,amikacin,susceptible
PDT000004294.4,amoxicillin-clavulanic acid,non-susceptible
PDT000004294.4,ampicillin,non-susceptible
PDT000004294.4,cefoxitin,susceptible
PDT000004294.4,ceftiofur,susceptible
PDT000004294.4,ceftriaxone,susceptible
PDT000004294.4,chloramphenicol,susceptible
PDT000004294.4,ciprofloxacin,susceptible
PDT000004294.4,gentamicin,susceptible
PDT000004294.4,kanamycin,susceptible
PDT000004294.4,nalidixic acid,susceptible
PDT000004294.4,streptomycin,susceptible
PDT000004294.4,sulfamethoxazole,susceptible
PDT000004294.4,tetracycline,susceptible
PDT000004294.4,trimethoprim-sulfamethoxazole,susceptible
PDT000004315.4,amikacin,susceptible
PDT000004315.4,amoxicillin-clavulanic acid,susceptible
PDT000004315.4,ampicillin,susceptible
PDT000004315.4,cefoxitin,susceptible
PDT000004315.4,ceftiofur,susceptible
PDT000004315.4,ceftriaxone,susceptible
PDT000004315.4,chloramphenicol,susceptible
PDT000004315.4,ciprofloxacin,susceptible
PDT000004315.4,gentamicin,susceptible
PDT000004315.4,kanamycin,susceptible
PDT000004315.4,nalidixic acid,susceptible
PDT000004315.4,streptomycin,non-susceptible
PDT000004315.4,sulfamethoxazole,susceptible
PDT000004315.4,tetracycline,non-susceptible
PDT000004315.4,trimethoprim-sulfamethoxazole,susceptible
PDT000004316.4,amikacin,susceptible
PDT000004316.4,amoxicillin-clavulanic acid,susceptible
PDT000004316.4,ampicillin,susceptible
PDT000004316.4,cefoxitin,susceptible
PDT000004316.4,ceftiofur,susceptible
